id,date,,year,month,weekend,days,dates,holiday,name,times,venue,street,city,state,country,books,directions,formula,info,,,
0,2019-01-01,,2019,Jan,1st,Tuesday,1,New Years Day,New Year’s Day Singing,,,,Cincinnati,OH,USA,3,,Always on New Year’s Day,http://ohiosacredharp.ej345.com or John Bealle,,,
1,2019-01-01,,2019,Jan,1st,Tuesday,1,New Years Day,New Year’s Day Singing,11:15 a.m.-4:00 p.m.,Mapperley Parish Church,Nr Ilkeston,Derbyshire,,UK,3,,,Helen Brown,,,
2,2019-01-01,,2019,Jan,1st,Tuesday,1,New Years Day,New Year’s Day Singing,10:00 a.m.,Hollingsworth Home,1547 Adams Clarke Rd,Commerce,GA,USA,4,,,John Hollingsworth,,,
3,2019-01-01,,2019,Jan,1st,Tuesday,1,New Years Day,Dominic Ciavonne Ziegler Memorial Singing,,Old Felta Schoolhouse,,Healdsburg,CA,USA,3,,,Lindy Groening,,,
4,2019-01-06,,2019,Jan,1st,Sunday,6,,Shady Grove Annual Singing,,Shady Grove Primitive Baptist Church,,Winston County,AL,USA,3,,The first Sunday of each year,,,,
5,2019-01-12,,2019,Jan,2nd,Saturday,12,,The Chicago Winter Singing Workshops,12:40 p.m. - 5:00 p.m.,Berry United Methodist Church,4754 N Leavitt,Chicago,IL,USA,3,,,chicagosingings.org,,,
6,2019-01-12,,2019,Jan,2nd,Saturday,12,,Lillian Calvert and Irene Woodley Memorial Singing,6:00 p.m.,Pleasant Hill Primitive Baptist Church,,Boldo (Walker County),AL,USA,3,,Saturday night before the second Sunday in January,,,,
7,2019-01-13,,2019,Jan,2nd,Sunday,13,,Uncle Jack Kerr and Henry Kerr Memorial,9:30 a.m. CT,Camp Ground Methodist Church,24581 County Road 49,"Muscadine, Cleburne County",AL,USA,3,Take U.S. Hwy. 78 to Fruithurst—Turn north onto County Road 49—Dutch Treat Singing—Meals are served at the church for a very reasonable price.,,,,,
8,2019-01-13,,2019,Jan,2nd,Sunday,13,,Anniversary Singing,9:30 a.m.,Kilbourn Park Fieldhouse,3501 N Kilbourn Ave,Chicago,IL,USA,3,,,Terry Cunningham,,,
9,2019-01-13,,2019,Jan,2nd,Sunday,13,,Helms-Bayne Memorial,,Pleasant Grove Primitive Baptist Church,,Ozark,AL,USA,1,,,Tommie Spurlock or Stanley Smith,,,
10,2019-01-19,,2019,Jan,3rd,Saturday,19,,Auburn Sacred Harp Singing,9:30 a.m.,First Presbyterian Church of Auburn,"148 E. Thach, Baird Hall",Auburn,AL,USA,3,,,Robert Chambless,,,
11,2019-01-19,,2019,Jan,3rd,Saturday and Sunday,"19,20",,All-California Sacred Harp Convention,9:30 a.m.-3:30 p.m.,,,San Diego,CA,USA,3,,,"Laura Boyd Russell (Los Angeles), Lindy Groenig (San Francisco) and Mairye Bates (San Diego)",,,
12,2019-01-20,,2019,Jan,3rd,Sunday,20,,Creel Memorial Christian Harmony Singing,9:30 a.m.,Old County Line Church,,"near Corner, (Jefferson County)",AL,USA,3,,,,,,
13,2019-01-20,,2019,Jan,3rd,Sunday,20,,Faircloth Memorial,,Union Hill Singing Hall,"Hwy 177, 9 miles from Hwy 79, Millers Crossroads",Bonifay,FL,USA,1,,,Aubrey Barfield,,,
14,2019-01-26,,2019,Jan,4th,Saturday,26,,William J. Reynolds Sacred Harp Singing,9:30 a.m.,Southwestern Baptist Theological Seminary,,,,USA,3,"Cowden Hall—Fort Worth, (Tarrant County), Texas—Dutch Treat",Last Saturday in January,Timothy Studstill,,,
15,2019-01-26,,2019,Jan,4th,Saturday and Sunday,"26,27",,W.L. Green Memorial and Baldwin County Cooper Book Singing,9:30 a.m.,Galilee Primitive Baptist Church,37295 US Hwy 31 S,Stapleton,AL,USA,3,,Fourth Sunday and Saturday before in January,Bill Hogan,,,
16,2019-01-26,,2019,Jan,4th,Saturday and Sunday,"26,27",,Keystone Convention,10:00 a.m.,,,,PA,USA,3,,,"Nancy Tkacs, ntkacs@gmail.com",,,
17,2019-01-26,,2019,Jan,4th,Saturday and Sunday,"26,27",,Australian Convention,,,,"Gerringong, New South Wales",,Australia,3,,,sacredharpaustralia.com,,,
18,2019-02-02,,2019,Feb,1st,Saturday,2,,Rotunda Singing,9:30 a.m.-3:00 p.m.,Alabama Department of Archives and History,,,AL,USA,"3, 1, 2, 6","between Adams and Washington streets, Montgomery, Alabama—Lunch provided with $5.00 donation",,Bill Hogan / Joey Brackner,,,
19,2019-02-03,,2019,Feb,1st,Sunday,3,,Burnham and Brown Memorial,9:00 a.m.,Wesley Foundation,,Jacksonville (Calhoun County),AL,USA,3,"Driving north on Hwy. 21, go through the square—Once past Mountain Street, look for the Wesley Foundation building on the left. Everyone is asked to bring a covered dish to help with lunch",,Pearl Guier,,,
20,2019-02-03,,2019,Feb,1st,Sunday,3,,Central Music Convention,,Traveler’s Rest Church,,Samson,AL,USA,1,,,Wayne Jones,,,
21,2019-02-09,,2019,Feb,2nd,Saturday,9,,Minnesota State Midwinter Singing,9:30 a.m.,,,,MN,USA,1,,,Matt Wells or fasolamatt@yahoo.com,,,
22,2019-02-09,,2019,Feb,2nd,Saturday,9,,Baylor University Singing,,"Truett Seminary Great Hall, Baylor University",,Waco,TX,USA,3,,,David Music,,,
23,2019-02-09,,2019,Feb,2nd,Saturday,9,,Cape Cod Sacred Harp Singing,10:00 a.m.,West Falmouth Friends Meeting House,572 West Falmouth Highway,Falmouth,MA,USA,3,"On Route 28A in West Falmouth, MA",Saturday before the second Sunday in February,"Bill Holt, Chuck Micciche, FB events",,,
24,2019-02-09,,2019,Feb,2nd,Saturday,9,,Sanders Memorial,9:30 a.m.,Liberty Church,,"McCormick, Jefferson County",AL,USA,3,,,Danny Creel,,,
25,2019-02-09,,2019,Feb,2nd,Saturday,9,,Emory University,10:00 a.m.,Cannon Chapel,,Decatur,GA,USA,3,,,John Plunkett or atlantasacredharp.org,,,
26,2019-02-10,,2019,Feb,2nd,Sunday,10,,Elder Roy Avery Memorial Singing,,Rocky Mount Primitive Baptist Church,,Tallapoosa County,AL,USA,3,,,,,,
27,2019-02-16,,2019,Feb,3rd,Saturday,16,,Lincoln’s Birthday Singing,1:00 p.m.,"University of Chicago, Ida Noyes Hall",,Chicago,IL,USA,3,,"(Note: this singing is in connection with Folk Festival and will alternate with first, second, or third Sunday)",www.chicagosingings.org,,,
28,2019-02-16,,2019,Feb,3rd,Saturday,16,,Alabama Collegiate Singing,9:30 a.m.,,,Tuscaloosa,AL,USA,3,,,Scott Ivey or Stephen Smith,,,
29,2019-02-16,,2019,Feb,3rd,Saturday,16,,Panhandle Pioneer Museum,,,,Blountstown,FL,USA,1,,,Russ Scholz,,,
30,2019-02-16,,2019,Feb,3rd,Saturday and Sunday,"16,17",,Pacific Northwest Convention,9:30 a.m.,Ballard Homestead,,Seattle,WA,USA,3,"Singing school and singing on Saturday, and all day singing on Sunday",,Kate Coxon or chair@pacificnwsacredharpsingers.org,,,
31,2019-02-17,,2019,Feb,3rd,Sunday,17,,State University of West Georgia Singing,10:00 a.m.,Food Service Building (Z-6),1061 Maple St,Carrollton (Carroll County),GA,USA,3,,,"Nathan Rees, Philip Denney",,,
32,2019-02-23,,2019,Feb,4th,Saturday,23,,J.L. White Sacred Harp/Eclectic Harmony I and II,10:00 a.m.,Hardeman Primitive Baptist Church,,Decatur,GA,USA,3,3965 Glenwood Road,,John Plunkett or Laura Akerman,,,
33,2019-02-23,,2019,Feb,4th,Saturday,23,,South Yorkshire Sacred Harp Singing Day,10:30 a.m.,Wood Lane Countryside Centre,Wood Lane,"Stannington, Sheffield",,UK,3,,,David D. Elliott,,,
34,2019-02-23,,2019,Feb,4th,Saturday,23,,Troy All-Day Singing,,Pioneer Museum,,Troy,AL,USA,1,North of Troy on west side of Hwy 231,,Ken S. Sundberg,,,
35,2019-02-23,,2019,Feb,4th,Saturday and Sunday,"23,24",,Texas State Convention,9:30 a.m.,"Coker United Methodist Church, 231 E. North Loop Road",,San Antonio,TX,USA,3,,,"Mike Hinton, Janie Short",,,
36,2019-02-24,,2019,Feb,4th,Sunday,24,,University of Georgia,,"Visitor Center, Botanical Gardens",,"Athens, Clarke County",GA,USA,"3, 7",Turn right at intersection of Highway 129 and 441 (Milledge Avenue Extension)—Go 1 mile to Botanical Garden sign—Turn right,,John Garst,,,NEXT BOOKS TO ADD
37,2019-03-01,,2019,Mar,1st,Fri-Sun,1-3,,Ireland Sacred Harp Convention,"Friday evening singing school, Sat, Sun: 10:00 a.m.-4:00 p.m.",,,Cork,,Ireland,3,,,www.corksacredharp.com/convention,,,
38,2019-03-02,,2019,Mar,1st,Saturday,2,,Emmaus Primitive Baptist Church,,,,Thomaston (Upson County),GA,USA,3,"From the courthouse square in Thomaston, go west on Georgia Alternate Highway 74. Go 0.7 miles and turn right on Hannahs Mill Road, then immediately turn left on Emmaus Church Road. At stop sign, turn left.  Church is on the right.",Saturday before the first Sunday in March,,,,
39,2019-03-02,,2019,Mar,1st,Saturday,2,,Elmore Center Singing,10:00 a.m.,Elmore Center United Methodist Church,1165 County Road 21,"Gordo, Pickens County",AL,USA,3,4 miles south of Gordo on County Roads 9 and 21,,Jack Pate,,,
40,2019-03-02,,2019,Mar,1st,Saturday,2,,Arie and Mona Galloway Memorial,,Traveler’s Rest Church,,Samson,AL,USA,1,,,,,,
